latitud,room_description,host_name,longitud,price_room
41.89515728,Studio in the heart of river North,Juavanie,-87.62930409,$130
41.87444338,Sunny Condo MasterBDR for long term,Amber,-87.62661621,$100
41.84154875,CloseToDowntown FreeParkingWhiteSOX,Sonia,-87.64884525,$49
41.83411826,"Clean& Cozy room, 15min to Downtown",Toufik,-87.63895671,$38
41.85745988,".3 mi train, bus 3ft, free parking!",Robert,-87.69632194,$60
41.93760673,Gorgeous Studio in Lakeview!,David,-87.64049261,$85
41.87826186,Heart of Downtown Condo Near Millenium Park.,Richard,-87.63000814,$149
41.87697021,Gorgeous Private Room in downtown Chicago,Haney,-87.62820726,$50
41.93600137,Lakeview Studio Apartment,Lauren,-87.64695315,$87
41.94664894,"Posh Flat, Close to Downtown (No 2)",David,-87.65516897,$54
41.88766555,Convenient home in downtown chicago,Antra,-87.62360187,$100
41.88152034,Perfect Downtown Chicago Location,Erica,-87.64199224,$90
41.87978107,Comfortable crash-pad in the heart of Chicago,Gigi,-87.62532373,$36
41.87302676,Cozy Tri-Taylor Private Room.,Esteban,-87.68875123,$55
41.91777794,Spacious Logan Square apartment,Dave & Anna,-87.70905415,$75
41.87982946,Private Room in W. Loop Timber Loft,Dian,-87.65979377,$125
41.83040656,Lovely artsy home away from home -A,Veronica,-87.60963407,$60
41.87240734,Rm3 Vintage GrayStone near Downtown,John,-87.66332341,$60
41.80156563,"Cozy room, private bath, Hyde Park",Frank (And Meridith),-87.59705165,$40
41.91832359,Perfectly Located BUCKTOWN Apt!,Andy,-87.68099568,$109
41.88069667,Downtown studio high floor,Yun,-87.64218834,$99
41.93601413,Sun-Drenched One Bedroom in Lakeview East,Trevor,-87.64649088,$137
41.93275837,Modern Vintage| 2 mins to CTA | Free Parking,Kenan & Ja,-87.64814514,$63
41.87743401,Two-Story Spacious West Loop Timber Loft,Eric,-87.64339582,$89
41.91049702,Penthouse in Prime Wicker Park Spot,David,-87.6758848,$109
41.85353503,The Kitchen Suite w/private bath,James And Dom,-87.69400107,$54
41.9261167,"Sunny, Large Private Room",Leah,-87.69668788,$42
41.88086265,Sightseeing Studio with Super-equipped Facilities,Gary,-87.64272262,$129
41.85737439,Fantastic Flat in Pilsen,Antar (& Nichole),-87.68147731,$108
41.86886248,Vibrant 2 bedroom apt in Taylor St.,Ruben,-87.66153868,$60
41.94171554,Roscoe Village 2 bed. Easy parking!,Dylan,-87.67908472,$90
41.98254867,"Quiet private bedroom, Chicago home",Laura,-87.78899321,$43
41.89887522,The heart of the magnificent mile,Suzanne,-87.62086357,$75
41.80754239,Beautiful Private Room near University of Chicago,Alex,-87.62353077,$50
41.88848965,Downtown Convertible with Great Amenities,Prat,-87.61878698,$109
41.89066321,Lux 2bed/2bathFREE Parking/Bar/Gym,Jenny,-87.64336683,$153
41.90235459,"Guest BR in spacious, modern loft",Kee-Won,-87.67933444,$63
41.921429,Chicago Penthouse with Roofdeck,Michael,-87.68603305,$95
41.88769345,Apartment in Best Chicago Location,Jerry,-87.61575204,$129
41.8575554,Chicago cozy and unique casita!,Carlos,-87.65774657,$70
41.93114498,Su Casa #1 - Bedroom 3,Su Casa,-87.71873384,$45
41.93804439,Professional King Bed Lakeview One Bedroom,Darrik,-87.64104472,$39
41.83052372,Calm Bridgeport space (2 couches),Charlotte,-87.64428367,$14
