celda;LL lat;LL lon;LR lat;LR lon;UL lat;UL lon;UR lat;UR lon
1;41,644540;-87,940110;41,644540;-87,919311;41,663465;-87,940110;41,663465;-87,919311
2;41,644540;-87,919311;41,644540;-87,898512;41,663465;-87,919311;41,663465;-87,898512
3;41,644540;-87,898512;41,644540;-87,877713;41,663465;-87,898512;41,663465;-87,877713
4;41,644540;-87,877713;41,644540;-87,856914;41,663465;-87,877713;41,663465;-87,856914
5;41,644540;-87,856914;41,644540;-87,836115;41,663465;-87,856914;41,663465;-87,836115
6;41,644540;-87,836115;41,644540;-87,815316;41,663465;-87,836115;41,663465;-87,815316
7;41,644540;-87,815316;41,644540;-87,794517;41,663465;-87,815316;41,663465;-87,794517
8;41,644540;-87,794517;41,644540;-87,773718;41,663465;-87,794517;41,663465;-87,773718
9;41,644540;-87,773718;41,644540;-87,752919;41,663465;-87,773718;41,663465;-87,752919
10;41,644540;-87,752919;41,644540;-87,732120;41,663465;-87,752919;41,663465;-87,732120
11;41,644540;-87,732120;41,644540;-87,711321;41,663465;-87,732120;41,663465;-87,711321
12;41,644540;-87,711321;41,644540;-87,690522;41,663465;-87,711321;41,663465;-87,690522
13;41,644540;-87,690522;41,644540;-87,669723;41,663465;-87,690522;41,663465;-87,669723
14;41,644540;-87,669723;41,644540;-87,648924;41,663465;-87,669723;41,663465;-87,648924
15;41,644540;-87,648924;41,644540;-87,628125;41,663465;-87,648924;41,663465;-87,628125
16;41,644540;-87,628125;41,644540;-87,607326;41,663465;-87,628125;41,663465;-87,607326
17;41,644540;-87,607326;41,644540;-87,586527;41,663465;-87,607326;41,663465;-87,586527
18;41,644540;-87,586527;41,644540;-87,565728;41,663465;-87,586527;41,663465;-87,565728
19;41,644540;-87,565728;41,644540;-87,544929;41,663465;-87,565728;41,663465;-87,544929
20;41,644540;-87,544929;41,644540;-87,524130;41,663465;-87,544929;41,663465;-87,524130
21;41,663465;-87,940110;41,663465;-87,919311;41,682389;-87,940110;41,682389;-87,919311
22;41,663465;-87,919311;41,663465;-87,898512;41,682389;-87,919311;41,682389;-87,898512
23;41,663465;-87,898512;41,663465;-87,877713;41,682389;-87,898512;41,682389;-87,877713
24;41,663465;-87,877713;41,663465;-87,856914;41,682389;-87,877713;41,682389;-87,856914
25;41,663465;-87,856914;41,663465;-87,836115;41,682389;-87,856914;41,682389;-87,836115
26;41,663465;-87,836115;41,663465;-87,815316;41,682389;-87,836115;41,682389;-87,815316
27;41,663465;-87,815316;41,663465;-87,794517;41,682389;-87,815316;41,682389;-87,794517
28;41,663465;-87,794517;41,663465;-87,773718;41,682389;-87,794517;41,682389;-87,773718
29;41,663465;-87,773718;41,663465;-87,752919;41,682389;-87,773718;41,682389;-87,752919
30;41,663465;-87,752919;41,663465;-87,732120;41,682389;-87,752919;41,682389;-87,732120
31;41,663465;-87,732120;41,663465;-87,711321;41,682389;-87,732120;41,682389;-87,711321
32;41,663465;-87,711321;41,663465;-87,690522;41,682389;-87,711321;41,682389;-87,690522
33;41,663465;-87,690522;41,663465;-87,669723;41,682389;-87,690522;41,682389;-87,669723
34;41,663465;-87,669723;41,663465;-87,648924;41,682389;-87,669723;41,682389;-87,648924
35;41,663465;-87,648924;41,663465;-87,628125;41,682389;-87,648924;41,682389;-87,628125
36;41,663465;-87,628125;41,663465;-87,607326;41,682389;-87,628125;41,682389;-87,607326
37;41,663465;-87,607326;41,663465;-87,586527;41,682389;-87,607326;41,682389;-87,586527
