latitud,longitud,cost
41.8543813061,-87.6845431346,15
41.8529201042,-87.7016798048,15
41.920325857,-87.7118040312,15
41.8549227753,-87.68290056,15
41.8511026708,-87.7034395798,15
41.8529671755,-87.7036411246,15
41.8281103251,-87.6180764071,15
41.8529322975,-87.7036714432,15
41.8552514829,-87.6832798255,15
41.8537166283,-87.6832625217,15
41.8531911286,-87.682631096,15
41.853236455,-87.6844447607,15
41.8523047472,-87.702362564,15
41.932449517,-87.7152813804,15
41.8515610343,-87.7014611493,15
41.7345285984,-87.5888192779,16
41.7357624657,-87.5872904508,16
42.0484878917,-87.6887161343,17
42.0115456203,-87.6649530808,19
41.9324782199,-87.6912388872,20
41.8511297799,-87.7021300994,20
42.0153700709,-87.6870756286,20
41.7381500578,-87.5639423675,20
41.7377418083,-87.5653210045,20
41.9504194884,-87.760445995,20
41.8406271409,-87.6494066118,20
41.7378077001,-87.5649814191,20
41.9511849976,-87.7814765041,20
41.7397440879,-87.5648775427,20
41.8522557519,-87.7036337609,20
41.857189172,-87.6934714634,20
41.7377233442,-87.5636635949,20
41.7975072706,-87.5875147415,20
41.7528231365,-87.5620127955,20
41.7398836922,-87.5634948455,20
41.9432035273,-87.7065627567,20
41.9106100936,-87.6772447778,21
41.8564834384,-87.6630819889,22
41.9509876277,-87.7814899901,22
41.9953352402,-87.7025030671,22
41.8562444568,-87.6600535175,22
41.854650926,-87.6596382367,22
41.8379866124,-87.6534745774,22
41.85506469,-87.6588670989,22
41.9972866917,-87.7033613726,22
42.0052538302,-87.6667553383,23
41.8543225509,-87.6707329364,23
41.9506179272,-87.7808260586,24
41.8558194315,-87.6724293851,24
41.8428990708,-87.6489797354,24
41.8936236424,-87.7787772421,25
41.8563602637,-87.671964689,25
42.015897818,-87.688268303,25
41.9700769775,-87.6830268173,25
41.7973410435,-87.5951151402,25
41.9461691356,-87.6547179824,25
41.8568530279,-87.6718102799,25
42.0170133852,-87.6871826299,25
41.8673218578,-87.6452634903,25
41.6880005845,-87.6731924797,25
42.0171392803,-87.6880811521,25
41.9441831856,-87.6698760947,25
41.8810785014,-87.7900835255,25
42.015754565,-87.6867773997,25
41.8811593066,-87.7940481392,25
41.7624600196,-87.5664557709,25
41.8814783054,-87.6425011877,25
41.7951054925,-87.6812565716,25
41.8946380212,-87.6737446693,25
41.9487979224,-87.7814462987,25
41.68994916,-87.671137065,25
41.8550560959,-87.671984333,25
41.9317891449,-87.7224381333,25
41.9727062602,-87.6566529858,25
41.8728989218,-87.778913087,25
42.0212668263,-87.6667148087,25
41.856982443,-87.6715306763,25
41.799671513,-87.6030684921,26
41.9071432136,-87.8052699503,26
41.9465553328,-87.6550865904,27
41.9466187754,-87.6554067992,27
41.9451225002,-87.6548175125,27
42.0065751421,-87.6817808157,27
41.7945987445,-87.5954488264,27
